PassengerId,Survived,Pclass,Sex,Age,Ticket,Fare,Cabin,Embarked
1,0,3,male,22,A/5 21171,7.25,,S
2,1,1,female,38,PC 17599,71.2833,C85,C
3,1,3,female,26,STON/O2. 3101282,7.925,,S
4,1,1,female,35,113803,53.1,C123,S
5,0,3,male,35,373450,8.05,,S
6,0,3,male,,330877,8.4583,,Q
7,0,1,male,54,17463,51.8625,E46,S
8,0,3,male,2,349909,21.075,,S
9,1,3,female,27,347742,11.1333,,S
10,1,2,female,14,237736,30.0708,,C
11,1,3,female,4,PP 9549,16.7,G6,S
12,1,1,female,58,113783,26.55,C103,S
13,0,3,male,20,A/5. 2151,8.05,,S
14,0,3,male,39,347082,31.275,,S
15,0,3,female,14,350406,7.8542,,S
16,1,2,female,55,248706,16,,S
17,0,3,male,2,382652,29.125,,Q
18,1,2,male,,244373,13,,S
19,0,3,female,31,345763,18,,S
20,1,3,female,,2649,7.225,,C
21,0,2,male,35,239865,26,,S
22,1,2,male,34,248698,13,D56,S
23,1,3,female,15,330923,8.0292,,Q
24,1,1,male,28,113788,35.5,A6,S
25,0,3,female,8,349909,21.075,,S
26,1,3,female,38,347077,31.3875,,S
27,0,3,male,,2631,7.225,,C
28,0,1,male,19,19950,263,C23 C25 C27,S
29,1,3,female,,330959,7.8792,,Q
30,0,3,male,,349216,7.8958,,S
31,0,1,male,40,PC 17601,27.7208,,C
32,1,1,female,,PC 17569,146.5208,B78,C
33,1,3,female,,335677,7.75,,Q
34,0,2,male,66,C.A. 24579,10.5,,S
35,0,1,male,28,PC 17604,82.1708,,C
36,0,1,male,42,113789,52,,S
37,1,3,male,,2677,7.2292,,C
38,0,3,male,21,A./5. 2152,8.05,,S
39,0,3,female,18,345764,18,,S
40,1,3,female,14,2651,11.2417,,C
41,0,3,female,40,7546,9.475,,S
42,0,2,female,27,11668,21,,S
43,0,3,male,,349253,7.8958,,C
44,1,2,female,3,SC/Paris 2123,41.5792,,C
45,1,3,female,19,330958,7.8792,,Q
46,0,3,male,,S.C./A.4. 23567,8.05,,S
47,0,3,male,,370371,15.5,,Q
48,1,3,female,,14311,7.75,,Q
49,0,3,male,,2662,21.6792,,C
50,0,3,female,18,349237,17.8,,S
51,0,3,male,7,3101295,39.6875,,S
52,0,3,male,21,A/4. 39886,7.8,,S
53,1,1,female,49,PC 17572,76.7292,D33,C
54,1,2,female,29,2926,26,,S
55,0,1,male,65,113509,61.9792,B30,C
56,1,1,male,,19947,35.5,C52,S
57,1,2,female,21,C.A. 31026,10.5,,S
58,0,3,male,28.5,2697,7.2292,,C
59,1,2,female,5,C.A. 34651,27.75,,S
60,0,3,male,11,CA 2144,46.9,,S
61,0,3,male,22,2669,7.2292,,C
62,1,1,female,38,113572,80,B28,
63,0,1,male,45,36973,83.475,C83,S
64,0,3,male,4,347088,27.9,,S
65,0,1,male,,PC 17605,27.7208,,C
66,1,3,male,,2661,15.2458,,C
67,1,2,female,29,C.A. 29395,10.5,F33,S
68,0,3,male,19,S.P. 3464,8.1583,,S
69,1,3,female,17,3101281,7.925,,S
70,0,3,male,26,315151,8.6625,,S
71,0,2,male,32,C.A. 33111,10.5,,S
72,0,3,female,16,CA 2144,46.9,,S
73,0,2,male,21,S.O.C. 14879,73.5,,S
74,0,3,male,26,2680,14.4542,,C
75,1,3,male,32,1601,56.4958,,S
76,0,3,male,25,348123,7.65,F G73,S
77,0,3,male,,349208,7.8958,,S
78,0,3,male,,374746,8.05,,S
79,1,2,male,0.83,248738,29,,S
80,1,3,female,30,364516,12.475,,S
81,0,3,male,22,345767,9,,S
82,1,3,male,29,345779,9.5,,S
83,1,3,female,,330932,7.7875,,Q
84,0,1,male,28,113059,47.1,,S
85,1,2,female,17,SO/C 14885,10.5,,S
86,1,3,female,33,3101278,15.85,,S
87,0,3,male,16,W./C. 6608,34.375,,S
88,0,3,male,,SOTON/OQ 392086,8.05,,S
89,1,1,female,23,19950,263,C23 C25 C27,S
90,0,3,male,24,343275,8.05,,S
91,0,3,male,29,343276,8.05,,S
92,0,3,male,20,347466,7.8542,,S
93,0,1,male,46,W.E.P. 5734,61.175,E31,S
94,0,3,male,26,C.A. 2315,20.575,,S
95,0,3,male,59,364500,7.25,,S
96,0,3,male,,374910,8.05,,S
97,0,1,male,71,PC 17754,34.6542,A5,C
98,1,1,male,23,PC 17759,63.3583,D10 D12,C
99,1,2,female,34,231919,23,,S
100,0,2,male,34,244367,26,,S
101,0,3,female,28,349245,7.8958,,S
102,0,3,male,,349215,7.8958,,S
103,0,1,male,21,35281,77.2875,D26,S
104,0,3,male,33,7540,8.6542,,S
105,0,3,male,37,3101276,7.925,,S
106,0,3,male,28,349207,7.8958,,S
107,1,3,female,21,343120,7.65,,S
108,1,3,male,,312991,7.775,,S
109,0,3,male,38,349249,7.8958,,S
110,1,3,female,,371110,24.15,,Q
111,0,1,male,47,110465,52,C110,S
112,0,3,female,14.5,2665,14.4542,,C
113,0,3,male,22,324669,8.05,,S
114,0,3,female,20,4136,9.825,,S
115,0,3,female,17,2627,14.4583,,C
116,0,3,male,21,STON/O 2. 3101294,7.925,,S
117,0,3,male,70.5,370369,7.75,,Q
118,0,2,male,29,11668,21,,S
119,0,1,male,24,PC 17558,247.5208,B58 B60,C
120,0,3,female,2,347082,31.275,,S
121,0,2,male,21,S.O.C. 14879,73.5,,S
122,0,3,male,,A4. 54510,8.05,,S
123,0,2,male,32.5,237736,30.0708,,C
124,1,2,female,32.5,27267,13,E101,S
125,0,1,male,54,35281,77.2875,D26,S
